"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2020","11,027.7","10,781.5","11,175.4","10,535.4","42.48M","3.23%"
"May 10, 2020","10,683.1","10,781.5","10,929.2","10,535.4","45.47M","1.40%"
"May 03, 2020","10,535.4","10,092.3","10,781.5","9,895.4","31.98M","4.39%"
"Apr 26, 2020","10,092.3","9,993.8","10,141.5","9,846.2","8.63M","0.99%"
"Apr 19, 2020","9,993.8","10,436.9","10,436.9","9,550.8","30.59M","-3.33%"
"Apr 12, 2020","10,338.5","8,812.3","10,387.7","8,812.3","31.45M","6.06%"
"Apr 05, 2020","9,747.7","9,550.8","10,978.5","9,353.8","38.88M","3.66%"
"Mar 29, 2020","9,403.1","9,600.0","9,600.0","7,926.2","34.11M","-3.05%"
"Mar 22, 2020","9,698.5","10,436.9","10,535.4","9,403.1","52.95M","-7.94%"
"Mar 15, 2020","10,535.4","10,830.8","11,421.5","9,895.4","47.84M","-2.73%"
"Mar 08, 2020","10,830.8","12,160.0","12,209.2","10,092.3","106.24M","-13.04%"
"Mar 01, 2020","12,455.4","12,012.3","12,996.9","12,012.3","50.71M","0.40%"
"Feb 23, 2020","12,406.2","12,553.8","12,603.1","11,323.1","69.85M","-1.95%"
"Feb 16, 2020","12,652.3","12,947.7","13,341.5","12,258.5","54.97M","-2.65%"
"Feb 09, 2020","12,996.9","11,716.9","13,193.9","11,520.0","51.68M","10.92%"
"Feb 02, 2020","11,716.9","10,978.5","11,864.6","10,683.1","29.67M","3.48%"
"Jan 26, 2020","11,323.1","11,913.8","11,963.1","11,273.8","17.25M","-6.12%"
"Jan 19, 2020","12,061.5","11,716.9","12,160.0","11,716.9","15.83M","2.94%"
"Jan 12, 2020","11,716.9","11,273.8","11,864.6","11,175.4","22.47M","4.85%"
"Jan 05, 2020","11,175.4","11,323.1","11,372.3","10,830.8","17.13M","-1.30%"
"Dec 29, 2019","11,323.1","11,175.4","11,421.5","11,076.9","10.64M","1.32%"
"Dec 22, 2019","11,175.4","11,175.4","11,323.1","11,076.9","11.23M","0.00%"
"Dec 15, 2019","11,175.4","11,421.5","11,421.5","11,027.7","9.53M","-2.15%"
"Dec 08, 2019","11,421.5","11,323.1","11,470.8","11,126.2","8.69M","0.87%"
"Dec 01, 2019","11,323.1","11,372.3","11,421.5","11,027.7","12.83M","-0.43%"
"Nov 24, 2019","11,372.3","11,470.8","11,667.7","11,224.6","12.12M","-0.43%"
"Nov 17, 2019","11,421.5","12,012.3","12,061.5","10,830.8","21.67M","-4.92%"
"Nov 10, 2019","12,012.3","12,209.2","12,455.4","12,012.3","21.97M","-1.61%"
"Nov 03, 2019","12,209.2","11,913.8","12,356.9","11,913.8","32.60M","2.48%"
"Oct 27, 2019","11,913.8","11,618.5","12,012.3","11,618.5","27.27M","2.54%"
"Oct 20, 2019","11,618.5","11,815.4","11,913.8","11,470.8","15.06M","-2.07%"
"Oct 13, 2019","11,864.6","11,815.4","12,110.8","11,815.4","23.81M","0.42%"
"Oct 06, 2019","11,815.4","11,618.5","11,963.1","11,372.3","22.73M","1.69%"
"Sep 29, 2019","11,618.5","11,470.8","11,716.9","11,421.5","19.81M","1.72%"
"Sep 22, 2019","11,421.5","11,421.5","12,307.7","11,273.8","20.74M","0.00%"
"Sep 15, 2019","11,421.5","11,126.2","12,504.6","10,880.0","20.16M","2.65%"
"Sep 08, 2019","11,126.2","10,732.3","11,126.2","10,633.8","7.25M","3.20%"
"Sep 01, 2019","10,781.5","10,929.2","11,027.7","10,683.1","4.05M","-1.35%"
"Aug 25, 2019","10,929.2","11,076.9","11,126.2","10,830.8","7.57M","-1.77%"
"Aug 18, 2019","11,126.2","10,830.8","11,224.6","10,781.5","15.82M","3.20%"
"Aug 11, 2019","10,781.5","10,830.8","10,929.2","10,486.2","10.29M","0.00%"
"Aug 04, 2019","10,781.5","10,978.5","10,978.5","9,846.2","14.59M","-1.79%"
"Jul 28, 2019","10,978.5","11,421.5","11,520.0","10,830.8","14.08M","-4.70%"
"Jul 21, 2019","11,520.0","12,989.4","12,989.4","11,470.8","27.04M","-2.50%"
"Jul 14, 2019","11,815.4","11,398.8","12,118.4","11,323.1","24.08M","3.65%"
"Jul 07, 2019","11,398.8","11,058.0","11,512.4","10,944.4","19.28M","3.08%"
"Jun 30, 2019","11,058.0","11,133.7","11,133.7","10,868.6","8.97M","1.04%"
"Jun 23, 2019","10,944.4","11,171.6","11,247.3","10,792.9","12.37M","-2.03%"
"Jun 16, 2019","11,171.6","10,868.6","11,361.0","10,830.8","11.71M","2.79%"
"Jun 09, 2019","10,868.6","10,868.6","10,982.3","10,792.9","9.19M","0.00%"
"Jun 02, 2019","10,868.6","10,868.6","10,982.3","10,755.0","11.28M","-1.04%"
"May 26, 2019","10,982.3","11,020.1","11,058.0","10,868.6","12.38M","-0.68%"
"May 19, 2019","11,058.0","11,095.9","11,361.0","10,300.6","12.83M","0.00%"
"May 12, 2019","11,058.0","11,133.7","11,247.3","10,944.4","16.17M","-0.34%"
"May 05, 2019","11,095.9","11,361.0","11,361.0","10,982.3","11.94M","-2.33%"
"Apr 28, 2019","11,361.0","11,436.7","11,474.6","11,247.3","5.94M","-0.33%"
"Apr 21, 2019","11,398.8","11,247.3","11,512.4","11,020.1","15.70M","1.69%"
"Apr 14, 2019","11,209.5","11,436.7","11,474.6","11,095.9","9.60M","-1.99%"
"Apr 07, 2019","11,436.7","11,436.7","11,739.7","11,361.0","18.09M","0.00%"
"Mar 31, 2019","11,436.7","11,474.6","11,626.0","11,323.1","13.71M","-0.33%"
"Mar 24, 2019","11,474.6","11,512.4","11,588.2","11,323.1","21.00M","-0.66%"
"Mar 17, 2019","11,550.3","12,042.6","12,194.1","11,512.4","38.21M","-3.79%"
"Mar 10, 2019","12,004.7","11,474.6","12,118.4","11,436.7","36.95M","4.62%"
"Mar 03, 2019","11,474.6","11,361.0","11,626.0","11,323.1","30.32M","1.00%"
"Feb 24, 2019","11,361.0","11,626.0","11,891.1","11,171.6","34.24M","-1.64%"
"Feb 17, 2019","11,550.3","11,436.7","11,663.9","11,361.0","35.13M","0.99%"
"Feb 10, 2019","11,436.7","11,285.2","11,701.8","11,209.5","24.83M","2.37%"
"Jan 27, 2019","11,171.6","11,058.0","11,739.7","10,603.6","16.13M","1.03%"
"Jan 20, 2019","11,058.0","10,868.6","11,361.0","10,868.6","20.24M","2.10%"
"Jan 13, 2019","10,830.8","10,906.5","11,095.9","10,035.5","11.88M","-1.04%"
"Jan 06, 2019","10,944.4","10,944.4","11,891.1","10,792.9","18.42M","2.12%"
"Dec 30, 2018","10,717.2","11,209.5","11,209.5","9,959.8","15.40M","-4.39%"
"Dec 23, 2018","11,209.5","10,603.6","11,247.3","9,846.2","33.46M","0.68%"
"Dec 16, 2018","11,133.7","11,474.6","12,307.7","10,982.3","25.36M","-3.29%"
"Dec 09, 2018","11,512.4","11,550.3","11,777.5","10,414.2","26.89M","-0.65%"
"Dec 02, 2018","11,588.2","11,323.1","11,966.9","11,323.1","43.77M","2.68%"
"Nov 25, 2018","11,285.2","10,792.9","11,398.8","10,149.1","36.76M","2.76%"
"Nov 18, 2018","10,982.3","10,717.2","11,398.8","10,717.2","36.86M","1.75%"
"Nov 11, 2018","10,792.9","10,868.6","10,944.4","10,262.7","37.07M","-0.70%"
"Nov 04, 2018","10,868.6","11,512.4","11,550.3","10,868.6","37.71M","-5.59%"
"Oct 28, 2018","11,512.4","10,717.2","11,588.2","10,414.2","52.00M","7.42%"
"Oct 21, 2018","10,717.2","11,739.7","11,853.3","10,452.1","45.31M","-8.71%"
"Oct 14, 2018","11,739.7","12,194.1","12,194.1","11,436.7","27.77M","-3.13%"
