"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2018","16,000.0","15,050.0","16,000.0","14,700.0","894.60K","8.84%"
"Feb 04, 2018","14,700.0","15,250.0","15,500.0","13,550.0","3.98M","-5.77%"
"Jan 28, 2018","15,600.0","15,700.0","16,500.0","15,200.0","5.37M","-0.32%"
"Jan 21, 2018","15,650.0","15,200.0","15,650.0","15,100.0","4.69M","2.96%"
"Jan 14, 2018","15,200.0","14,600.0","15,400.0","13,900.0","6.86M","3.75%"
"Jan 07, 2018","14,650.0","13,200.0","15,100.0","13,100.0","11.77M","13.57%"
"Dec 31, 2017","12,900.0","12,800.0","13,400.0","12,100.0","6.16M","1.98%"
"Dec 24, 2017","12,650.0","12,400.0","12,750.0","12,200.0","1.94M","2.02%"
"Dec 17, 2017","12,400.0","12,550.0","12,600.0","12,000.0","2.32M","-1.20%"
"Dec 10, 2017","12,550.0","12,800.0","12,800.0","11,800.0","1.69M","-1.95%"
"Dec 03, 2017","12,800.0","12,450.0","13,400.0","12,250.0","5.55M","2.81%"
"Nov 26, 2017","12,450.0","12,450.0","12,800.0","11,950.0","2.53M","0.00%"
"Nov 19, 2017","12,450.0","11,600.0","12,800.0","11,500.0","3.58M","7.33%"
"Nov 12, 2017","11,600.0","11,300.0","11,750.0","11,000.0","1.62M","2.65%"
"Nov 05, 2017","11,300.0","11,600.0","11,600.0","11,100.0","496.89K","0.00%"
"Oct 29, 2017","11,300.0","11,250.0","11,400.0","11,000.0","567.99K","-0.88%"
"Oct 22, 2017","11,400.0","11,500.0","11,700.0","11,150.0","447.11K","-0.87%"
"Oct 15, 2017","11,500.0","11,750.0","11,900.0","11,200.0","1.38M","-2.13%"
"Oct 08, 2017","11,750.0","12,000.0","12,000.0","11,550.0","758.28K","-1.26%"
"Oct 01, 2017","11,900.0","12,200.0","12,300.0","11,850.0","1.01M","-4.80%"
"Sep 24, 2017","12,500.0","12,550.0","12,550.0","12,100.0","973.45K","0.81%"
"Sep 17, 2017","12,400.0","12,800.0","13,000.0","12,300.0","895.29K","-3.13%"
"Sep 10, 2017","12,800.0","12,100.0","12,900.0","11,850.0","2.55M","5.79%"
"Sep 03, 2017","12,100.0","12,150.0","12,200.0","11,900.0","1.12M","-0.41%"
"Aug 27, 2017","12,150.0","11,900.0","12,300.0","11,850.0","1.61M","1.25%"
"Aug 20, 2017","12,000.0","12,050.0","12,300.0","11,750.0","918.56K","-0.41%"
"Aug 13, 2017","12,050.0","12,550.0","12,600.0","11,300.0","3.43M","-3.21%"
"Aug 06, 2017","12,450.0","13,000.0","13,000.0","12,200.0","2.31M","-4.23%"
"Jul 30, 2017","13,000.0","12,150.0","13,200.0","11,600.0","6.05M","7.00%"
"Jul 23, 2017","12,150.0","11,650.0","12,300.0","11,500.0","1.02M","4.29%"
"Jul 16, 2017","11,650.0","12,700.0","12,700.0","11,200.0","2.68M","-9.34%"
"Jul 09, 2017","12,850.0","13,100.0","13,100.0","12,600.0","1.37M","-1.15%"
"Jul 02, 2017","13,000.0","13,000.0","13,400.0","12,600.0","4.34M","0.78%"
"Jun 25, 2017","12,900.0","12,700.0","12,900.0","12,350.0","2.25M","0.39%"
"Jun 18, 2017","12,850.0","12,200.0","13,800.0","12,200.0","5.91M","5.33%"
"Jun 11, 2017","12,200.0","12,400.0","12,600.0","12,000.0","1.39M","-0.81%"
"Jun 04, 2017","12,300.0","11,500.0","12,600.0","11,400.0","2.19M","6.03%"
"May 28, 2017","11,600.0","11,800.0","12,000.0","11,600.0","1.73M","-0.85%"
"May 21, 2017","11,700.0","11,000.0","11,850.0","11,000.0","1.76M","5.41%"
"May 14, 2017","11,100.0","11,200.0","11,200.0","10,900.0","1.12M","-0.89%"
"May 07, 2017","11,200.0","11,100.0","11,400.0","11,000.0","612.46K","0.90%"
"Apr 30, 2017","11,100.0","11,200.0","11,400.0","11,000.0","415.18K","-0.89%"
"Apr 23, 2017","11,200.0","10,800.0","11,800.0","10,550.0","1.41M","2.28%"
"Apr 16, 2017","10,950.0","11,400.0","11,550.0","10,650.0","2.06M","-4.37%"
"Apr 09, 2017","11,450.0","12,200.0","12,300.0","11,100.0","606.15K","-6.15%"
"Apr 02, 2017","12,200.0","11,650.0","12,500.0","11,350.0","927.10K","4.72%"
"Mar 26, 2017","11,650.0","11,800.0","12,050.0","11,650.0","1.01M","-1.27%"
"Mar 19, 2017","11,800.0","10,900.0","12,500.0","10,900.0","3.38M","8.26%"
"Mar 12, 2017","10,900.0","10,700.0","10,950.0","10,700.0","668.52K","0.00%"
"Mar 05, 2017","10,900.0","10,900.0","10,900.0","10,550.0","853.91K","0.00%"
"Feb 26, 2017","10,900.0","10,500.0","10,900.0","10,300.0","1.10M","2.83%"
"Feb 19, 2017","10,600.0","10,450.0","11,000.0","10,350.0","6.36M","2.91%"
"Feb 12, 2017","10,300.0","10,400.0","11,250.0","9,820.0","1.48M","-1.90%"
"Feb 05, 2017","10,500.0","10,900.0","10,900.0","10,350.0","645.41K","-3.67%"
"Jan 29, 2017","10,900.0","9,620.0","10,950.0","9,580.0","583.61K","13.78%"
"Jan 22, 2017","9,580.0","9,590.0","9,590.0","9,460.0","157.39K","-0.10%"
"Jan 15, 2017","9,590.0","9,600.0","9,630.0","9,400.0","219.23K","-0.10%"
"Jan 08, 2017","9,600.0","9,520.0","9,780.0","9,340.0","55.62K","-1.54%"
"Jan 01, 2017","9,750.0","9,050.0","9,850.0","9,050.0","290.87K","8.33%"
"Dec 25, 2016","9,000.0","9,250.0","9,620.0","9,000.0","446.10K","-6.25%"
"Dec 18, 2016","9,600.0","9,250.0","9,700.0","9,200.0","135.60K","0.00%"
"Dec 11, 2016","9,600.0","9,800.0","10,400.0","9,200.0","805.34K","-2.04%"
"Dec 04, 2016","9,800.0","9,200.0","9,900.0","8,500.0","975.38K","5.38%"
